Model,K,Precision@K,Recall@K,NDCG@K,MAP@K,F1@K,ILD@K,Serendipity@K,Novelty@K,DOPM@K,LongTailCoverage@K,FAS_Fairness@K,GenreEntropy@K,ProducerFairness@K,GenreCoverage@K,CatalogCoverage@K
maora_imf,15,0.21442028985507244,0.3636486288338752,0.3395293727155487,0.17830799559789998,0.2261273052213991,0.47521739130434787,0.08953421084147604,0.2774396934932409,1.2490825871916345,0.10166666666666667,0.9270337329548286,2.5428138634453745,0.15006265919187953,1.0,0.6331747919143876
maora_imf,20,0.2063586956521739,0.46069182741494774,0.38608993492950194,0.19990702947264227,0.24266098542397688,0.4058152173913044,0.08891067317556929,0.2779137847902595,1.2425865820212918,0.10244565217391306,0.9326773317170297,2.673995603895825,0.1433740952758717,1.0,0.6444708680142688
maora_imf,25,0.2019130434782609,0.5569217240770173,0.43593766642476833,0.22590212956756542,0.25549608888380154,0.3553478260869566,0.08864030898000509,0.27712160542033565,1.2470752707349353,0.10178260869565217,0.9367240188170389,2.7601109218555306,0.13889379093283016,1.0,0.652794292508918
maora_imf,30,0.1978985507246377,0.6487210554760059,0.48809163381907394,0.25475366898590446,0.2645664268910204,0.31666666666666665,0.08911442100551084,0.2771062061479351,1.245943465937242,0.10195652173913043,0.9398831673280927,2.815502559786301,0.1360935555990481,1.0,0.6587395957193817
morem,5,0.20282608695652177,0.10900294983023638,0.2964998144716433,0.22193599033816425,0.11508252671127592,0.5682608695652174,0.09996568345521506,0.1273480857319567,2.192478682353445,0.0034782608695652175,0.8839845103067422,1.2838443871964667,0.24370744249740994,1.0,0.23543400713436385
morem,10,0.15336956521739134,0.15783934462177587,0.33359835898963164,0.23793607472175665,0.1257716221397568,0.39358695652173914,0.10119654776531793,0.12887074750239166,2.189808733328853,0.004239130434782609,0.8991618138761398,1.5837121894498396,0.220151262081184,1.0,0.2901307966706302
morem,15,0.12492753623188405,0.18979826192992033,0.3822613796769487,0.2773381292755603,0.1233642351498445,0.3134782608695652,0.10121828792790434,0.12904017976134075,2.191301584938082,0.004202898550724638,0.9055154363043348,1.7161904389892497,0.20808468273084857,1.0,0.32520808561236625
morem,20,0.1053804347826087,0.21388102445025428,0.431892836992435,0.323577677251304,0.1170446246757573,0.26706521739130434,0.10107836426089295,0.12918039896606667,2.190055106157518,0.004565217391304348,0.9094875013109524,1.7988344103144476,0.19915411579240563,1.0,0.3454221165279429
morem,25,0.09273913043478262,0.23261361340217943,0.4826255967456,0.37271302266623,0.11138645791343228,0.2361739130434783,0.10077320229005252,0.1289678798236236,2.185939683187267,0.0041739130434782605,0.9118560886133786,1.8582913517567743,0.19304790750089085,1.0,0.3579072532699168
morem,30,0.08384057971014494,0.25008361637992677,0.5366025851103947,0.4282190942993773,0.10679803478465891,0.2147826086956522,0.10069460731153253,0.12908230610018784,2.186084350280032,0.003985507246376812,0.9135517664746423,1.9065839029388834,0.1882658146423273,1.0,0.36563614744351963
cmoea_penn,5,0.09130434782608696,0.036218230765852635,0.12155757470281216,0.07824667874396135,0.044622483398755075,0.6432608695652173,0.1937564190066781,0.24424337510607014,2.563476392503666,0.023043478260869568,0.8528455622454374,1.4985685692818869,0.392431932267201,1.0,0.3162901307966706
cmoea_penn,10,0.07434782608695653,0.06359880279359201,0.13262055420470165,0.07373729248140479,0.05718200444308251,0.45663043478260873,0.1937799549046812,0.24312920500129104,2.557468101456761,0.025543478260869567,0.8678362646936622,1.87338470948908,0.3684655417540797,1.0,0.3703923900118906
cmoea_penn,15,0.06333333333333334,0.08213507951559561,0.14677609814875928,0.07788782275266895,0.059801782575581455,0.3578260869565218,0.19385819661221806,0.24334635083667205,2.561907269939564,0.02673913043478261,0.8738420528420269,2.0221609610473528,0.359705719904633,1.0,0.40130796670630203
cmoea_penn,20,0.05695652173913044,0.10121153113665471,0.16295262960289808,0.08585869284490048,0.061164734896543546,0.29972826086956517,0.1938845409339444,0.24328740877102964,2.566596576528543,0.027119565217391305,0.8772515175120936,2.114174924662297,0.35456693045625565,1.0,0.4167657550535077
cmoea_penn,25,0.05156521739130435,0.11315775534795369,0.17915070431715047,0.09520263469413633,0.06013676692020107,0.2572608695652174,0.1937579415842161,0.24309597139401706,2.5696713280165975,0.026521739130434784,0.879604657275003,2.1700524158938475,0.35154340313734034,1.0,0.4351961950059453
cmoea_penn,30,0.0480072463768116,0.12716098792889022,0.19928421817226613,0.10745166106695715,0.05980380995014623,0.22594202898550725,0.19375179504416618,0.2430512071501556,2.5684879855557843,0.02644927536231884,0.8813833397861619,2.2089065256591183,0.34866022029658983,1.0,0.4447086801426873
ae_mc_nsga2,5,0.014565217391304347,0.006470434154526341,0.017143686290762294,0.008923913043478261,0.0075307511753839465,0.4502173913043479,0.005471951886382113,0.6079520342280058,0.2456829501734404,0.8508695652173914,0.8238737126196075,0.8692641885235511,0.02077046635197756,1.0,0.045778834720570746
ae_mc_nsga2,10,0.013369565217391305,0.012033429509127067,0.018871462998824706,0.008034646739130435,0.010450767367159499,0.33260869565217394,0.004804948188054557,0.6116202741264493,0.23474680443323284,0.8576086956521739,0.8424965455963332,1.1031700904543635,0.017422819005489216,1.0,0.054102259215219974
ae_mc_nsga2,15,0.013188405797101451,0.019113689257382466,0.021691573230203383,0.0087077628846994,0.012693961713812145,0.28833333333333333,0.004934906110721059,0.6116731332699673,0.23736599939674421,0.8575362318840581,0.8543809183929848,1.2414378665010894,0.017244202910321287,1.0,0.058858501783590964
ae_mc_nsga2,20,0.01309782608695652,0.024133319820103707,0.02404022563994813,0.009433036658876227,0.014076388534177758,0.26364130434782607,0.005139723642853268,0.6116942423354075,0.23812077462216794,0.8569565217391305,0.8615723989099234,1.336782273211999,0.017139320928663528,1.0,0.06361474435196195
ae_mc_nsga2,25,0.012608695652173915,0.029597893677826184,0.026823600682550495,0.010890150292574485,0.01486247266751196,0.24386956521739134,0.005266397253712407,0.6111356398408675,0.23762918051130758,0.8564782608695652,0.8659836282511378,1.3950151833656639,0.01664848947399035,1.0,0.07074910820451843
ae_mc_nsga2,30,0.0125,0.03473778033137819,0.03016677487689481,0.012559451527937492,0.015618525556373797,0.22971014492753625,0.005328785380532369,0.6105313294556479,0.24037843713666202,0.8554347826086958,0.8699814407801114,1.447259706998813,0.0163318934282003,1.0,0.07372175980975029
moea_miae,5,0.07847826086956522,0.033890093032713016,0.08419245125986598,0.04716274154589372,0.03961000679610897,0.6876086956521739,0.2044105802040106,0.28656023522960283,1.7058580339295062,0.05173913043478261,0.8916447438370012,1.616103649509912,0.3320463515323114,1.0,0.4982164090368609
moea_miae,10,0.07271739130434783,0.06269765435505709,0.09055415021503678,0.03976749752839945,0.05539085884919359,0.5121739130434783,0.2032996621684398,0.2858201534637764,1.7118998581867504,0.04880434782608696,0.9160130469153606,2.0581389387829034,0.29957867434217217,1.0,0.5541022592152199
moea_miae,15,0.06942028985507245,0.0900562408552939,0.10199218121139214,0.039912830663756144,0.06501403355155512,0.41862318840579715,0.20374575682090482,0.28584670637102066,1.718896602825734,0.04826086956521739,0.9270280056603548,2.2512530904650756,0.2848611419681965,1.0,0.5868014268727705
