Model,K,Precision@K,Recall@K,NDCG@K,MAP@K,F1@K,ILD@K,Serendipity@K,Novelty@K,DOPM@K,LongTailCoverage@K,FAS_Fairness@K,GenreEntropy@K,ProducerFairness@K,GenreCoverage@K,CatalogCoverage@K
FAS-MOEA,10,0.1907608695652174,0.19140305106334465,0.24440187534472138,0.14135057890909986,0.15622559025350266,0.4731521739130435,0.13306296157583036,0.185882958852289,1.8172702729244432,0.03391304347826087,0.9245569415999031,1.9644918893037417,0.21736253125497573,1.0,0.5315101070154578
MSRS,10,0.13717391304347828,0.11728154210698444,0.16289718487859653,0.08123193129908969,0.10604513133557862,0.5026086956521739,0.16392632385618292,0.20086829193791902,2.0654903251386205,0.008804347826086958,0.9170733066728758,2.046314459886093,0.3045140032963995,1.0,0.4233055885850178
MSRS II,10,0.00010869565217391305,3.19693094629156e-05,6.915303065103447e-05,1.0869565217391305e-05,4.940711462450592e-05,0.0019565217391304345,0.0004021989888706776,0.0011091733272446352,0.005081616154183512,0.0002173913043478261,0.003011290107915829,0.0078954666128225,0.0007938869832466686,0.8333333333333334,0.0178359096313912
MSRS IV,10,0.06576086956521739,0.058054493675684,0.07510587371930764,0.03222784459999781,0.050354223073441826,0.5878260869565217,0.15338202040399324,0.30751147037125215,1.6212709765334654,0.10826086956521738,0.9095182209330765,2.3188363003068986,0.23831595536654718,1.0,0.6147443519619501
